TOA,AOA,Amp,Freq,PW
0.000201000,45.00000,-44,9472656250.00000,0.000001000
0.000401000,45.00000,-41,9468750000.00000,0.000001000
0.000501000,45.00000,-39,9468750000.00000,0.000001000
0.000601000,45.00000,-38,9468750000.00000,0.000001000
0.000701000,43.59375,-37,9468750000.00000,0.000001000
0.000800500,45.00000,-36,9468750000.00000,0.000001000
0.000901000,45.00000,-36,9472656250.00000,0.000001500
0.001000500,45.00000,-35,9464843750.00000,0.000001000
0.001101000,45.00000,-34,9472656250.00000,0.000001000
0.001201000,45.00000,-33,9468750000.00000,0.000001000
0.001401000,45.00000,-33,9468750000.00000,0.000001000
0.001701000,45.00000,-31,9468750000.00000,0.000000500
0.002700500,45.00000,-26,9472656250.00000,0.000001000
0.003001000,45.00000,-26,9472656250.00000,0.000001000
0.003501000,45.00000,-25,9468750000.00000,0.000000500
0.004501000,46.40625,-23,9472656250.00000,0.000001000
0.004801000,46.40625,-23,9468750000.00000,0.000001000
0.005101000,45.00000,-23,9468750000.00000,0.000001000
0.005301000,45.00000,-22,9464843750.00000,0.000000500
0.005500500,45.00000,-22,9468750000.00000,0.000000500
0.005801000,45.00000,-23,9468750000.00000,0.000001000
0.006001000,46.40625,-22,9468750000.00000,0.000001000
0.007401000,45.00000,-21,9468750000.00000,0.000000500
0.007600500,45.00000,-21,9468750000.00000,0.000001000
0.007701000,45.00000,-21,9464843750.00000,0.000001000
0.007901000,45.00000,-21,9468750000.00000,0.000001000
0.008001000,45.00000,-20,9464843750.00000,0.000001000
0.008200500,45.00000,-20,9468750000.00000,0.000001000
0.008701000,45.00000,-20,9464843750.00000,0.000001000
0.009600500,45.00000,-20,9468750000.00000,0.000000500
0.009801500,43.59375,-20,9468750000.00000,0.000001000
0.010001500,45.00000,-20,9468750000.00000,0.000001000
0.010201000,45.00000,-19,9468750000.00000,0.000001000
0.010400500,45.00000,-20,9464843750.00000,0.000001000
0.010501000,45.00000,-20,9468750000.00000,0.000001000
0.011001000,46.40625,-20,9468750000.00000,0.000001000
0.011200500,45.00000,-20,9468750000.00000,0.000001000
0.011300500,46.40625,-20,9468750000.00000,0.000001000
0.011800500,45.00000,-21,9468750000.00000,0.000001000
0.012401500,46.40625,-20,9468750000.00000,0.000001000
0.012501000,46.40625,-21,9468750000.00000,0.000001500
0.012601000,45.00000,-21,9468750000.00000,0.000001000
0.012700500,45.00000,-22,9468750000.00000,0.000001000
0.013701000,45.00000,-21,9468750000.00000,0.000001000
0.014001000,43.59375,-22,9468750000.00000,0.000001000
0.014401000,45.00000,-22,9468750000.00000,0.000001000
0.014501000,45.00000,-21,9468750000.00000,0.000001000
0.014701000,45.00000,-23,9468750000.00000,0.000000500
0.015801500,45.00000,-24,9468750000.00000,0.000001500
0.015901000,45.00000,-25,9464843750.00000,0.000001000
0.016301000,45.00000,-25,9468750000.00000,0.000001000
0.017100500,45.00000,-27,9468750000.00000,0.000001000
0.017900500,45.00000,-31,9468750000.00000,0.000001000
0.018001000,45.00000,-30,9472656250.00000,0.000001000
0.018600500,45.00000,-34,9468750000.00000,0.000001000
0.019201000,45.00000,-38,9468750000.00000,0.000001000
