TOA,AOA,Amp,Freq,PW
0.0012115,85.78125,-50,11898437500,0.0000010
0.0012215,85.78125,-49,11902343750,0.0000010
0.0012315,85.78125,-50,11898437500,0.0000010
0.0012410,85.78125,-50,11898437500,0.0000010
0.0012515,85.78125,-50,11898437500,0.0000015
0.0012615,85.78125,-50,11898437500,0.0000010
0.0012715,85.78125,-50,11898437500,0.0000005
0.0012815,85.78125,-50,11898437500,0.0000015
0.0012915,87.18750,-49,11898437500,0.0000010
0.0013015,85.78125,-49,11902343750,0.0000010
0.0013115,85.78125,-49,11898437500,0.0000005
0.0013215,85.78125,-50,11898437500,0.0000010
0.0013315,85.78125,-48,11902343750,0.0000010
0.0013415,85.78125,-50,11898437500,0.0000010
0.0013515,84.37500,-49,11898437500,0.0000015
0.0013615,87.18750,-49,11894531250,0.0000010
0.0013715,85.78125,-48,11898437500,0.0000015
0.0013815,85.78125,-49,11898437500,0.0000010
0.0013915,85.78125,-49,11898437500,0.0000010
0.0014015,85.78125,-49,11898437500,0.0000010
0.0014115,85.78125,-49,11898437500,0.0000010
0.0014215,85.78125,-48,11898437500,0.0000010
0.0014315,85.78125,-49,11898437500,0.0000010
0.0014420,85.78125,-48,11898437500,0.0000010
0.0014510,85.78125,-48,11898437500,0.0000005
0.0014615,85.78125,-48,11898437500,0.0000010
0.0014715,85.78125,-48,11898437500,0.0000010
0.0014815,85.78125,-48,11898437500,0.0000015
0.0014915,85.78125,-48,11898437500,0.0000010
0.0015015,85.78125,-48,11898437500,0.0000010
0.0015115,85.78125,-48,11898437500,0.0000010
0.0015220,85.78125,-48,11898437500,0.0000010
0.0015315,85.78125,-49,11898437500,0.0000010
0.0015415,85.78125,-48,11894531250,0.0000015
0.0015520,85.78125,-48,11898437500,0.0000005
0.0015615,85.78125,-48,11898437500,0.0000015
0.0015720,84.37500,-48,11898437500,0.0000010
0.0015815,85.78125,-47,11898437500,0.0000010
0.0015915,85.78125,-48,11898437500,0.0000015
0.0016015,85.78125,-48,11902343750,0.0000010
0.0016115,85.78125,-48,11898437500,0.0000010
0.0016210,85.78125,-47,11898437500,0.0000010
0.0016320,85.78125,-47,11902343750,0.0000010
0.0016415,85.78125,-46,11898437500,0.0000010
0.0016515,85.78125,-47,11898437500,0.0000010
0.0016615,85.78125,-47,11898437500,0.0000015
0.0016715,85.78125,-46,11898437500,0.0000010
0.0016815,85.78125,-47,11898437500,0.0000010
0.0016915,85.78125,-46,11898437500,0.0000005
0.0017020,85.78125,-47,11898437500,0.0000010
0.0017110,85.78125,-47,11898437500,0.0000010
0.0017215,85.78125,-48,11898437500,0.0000005
0.0017315,85.78125,-47,11898437500,0.0000015
0.0017420,85.78125,-47,11898437500,0.0000010
0.0017510,85.78125,-47,11898437500,0.0000010
0.0017615,85.78125,-47,11902343750,0.0000010
0.0017715,85.78125,-47,11898437500,0.0000010
0.0017815,85.78125,-48,11894531250,0.0000010
0.0017915,85.78125,-47,11898437500,0.0000010
0.0018015,85.78125,-46,11898437500,0.0000010
0.0018115,85.78125,-47,11898437500,0.0000010
0.0018210,85.78125,-46,11898437500,0.0000010
0.0018315,85.78125,-46,11898437500,0.0000010
0.0018415,85.78125,-46,11898437500,0.0000010
0.0018515,85.78125,-46,11898437500,0.0000010
0.0018615,84.37500,-45,11898437500,0.0000010
0.0018715,85.78125,-46,11898437500,0.0000015
0.0018815,85.78125,-46,11902343750,0.0000010
