TOA,AOA,Amp,Freq,PW
0.0000015,87.18750,-49,9421875000,0.0000030
0.0003915,85.78125,-48,9421875000,0.0000030
0.0005215,87.18750,-49,9421875000,0.0000030
0.0009115,87.18750,-48,9425781250,0.0000030
0.0010415,87.18750,-46,9421875000,0.0000030
0.0011715,87.18750,-46,9421875000,0.0000030
0.0014310,87.18750,-45,9417968750,0.0000030
0.0015610,87.18750,-45,9421875000,0.0000035
0.0016915,87.18750,-45,9425781250,0.0000030
0.0019515,87.18750,-44,9421875000,0.0000030
0.0020815,88.59375,-44,9421875000,0.0000030
0.0023415,87.18750,-43,9421875000,0.0000025
0.0024715,87.18750,-44,9421875000,0.0000030
0.0027310,87.18750,-43,9421875000,0.0000030
0.0029915,88.59375,-42,9421875000,0.0000030
0.0031210,87.18750,-41,9421875000,0.0000030
0.0033815,85.78125,-41,9421875000,0.0000030
0.0036420,87.18750,-42,9421875000,0.0000025
0.0039010,87.18750,-41,9421875000,0.0000030
0.0042915,87.18750,-40,9417968750,0.0000030
0.0048110,85.78125,-40,9421875000,0.0000030
0.0052015,87.18750,-39,9425781250,0.0000030
0.0062415,87.18750,-39,9421875000,0.0000030
0.0067615,85.78125,-38,9417968750,0.0000035
0.0070215,87.18750,-39,9421875000,0.0000030
0.0075415,87.18750,-37,9421875000,0.0000030
0.0076715,87.18750,-37,9421875000,0.0000030
0.0078015,87.18750,-37,9421875000,0.0000030
0.0079315,85.78125,-37,9421875000,0.0000030
0.0081915,87.18750,-37,9421875000,0.0000030
0.0084515,87.18750,-36,9421875000,0.0000030
0.0085815,87.18750,-36,9421875000,0.0000030
0.0087115,87.18750,-35,9421875000,0.0000030
0.0088420,85.78125,-36,9421875000,0.0000030
0.0089710,87.18750,-36,9421875000,0.0000030
0.0091015,87.18750,-37,9421875000,0.0000035
0.0093615,87.18750,-36,9421875000,0.0000025
0.0100115,87.18750,-35,9421875000,0.0000030
0.0104015,88.59375,-36,9421875000,0.0000030
0.0106620,88.59375,-35,9421875000,0.0000030
0.0107915,87.18750,-35,9421875000,0.0000030
0.0109220,87.18750,-35,9421875000,0.0000030
0.0110515,87.18750,-35,9421875000,0.0000030
0.0111815,85.78125,-35,9421875000,0.0000025
0.0113120,87.18750,-35,9421875000,0.0000030
0.0114415,87.18750,-35,9421875000,0.0000035
0.0119615,87.18750,-34,9425781250,0.0000035
0.0120915,87.18750,-35,9421875000,0.0000030
0.0122215,87.18750,-34,9421875000,0.0000030
0.0123515,87.18750,-34,9425781250,0.0000030
0.0126115,85.78125,-34,9417968750,0.0000030
0.0130015,85.78125,-35,9425781250,0.0000035
0.0131315,87.18750,-34,9421875000,0.0000030
0.0136515,87.18750,-34,9421875000,0.0000030
0.0139115,87.18750,-34,9421875000,0.0000030
0.0146915,87.18750,-34,9421875000,0.0000035
0.0148215,87.18750,-34,9425781250,0.0000025
0.0150815,87.18750,-34,9421875000,0.0000030
0.0152120,85.78125,-34,9421875000,0.0000030
0.0153415,87.18750,-34,9421875000,0.0000035
0.0161215,87.18750,-33,9421875000,0.0000030
0.0162515,85.78125,-34,9421875000,0.0000030
0.0166420,87.18750,-33,9421875000,0.0000030
0.0169015,87.18750,-33,9421875000,0.0000030
0.0171615,87.18750,-32,9421875000,0.0000030
0.0174215,85.78125,-33,9425781250,0.0000030
0.0178110,87.18750,-33,9421875000,0.0000025
0.0179410,87.18750,-34,9421875000,0.0000030
0.0180715,87.18750,-33,9421875000,0.0000030
0.0183315,88.59375,-32,9425781250,0.0000030
0.0192420,87.18750,-33,9421875000,0.0000025
0.0193715,87.18750,-33,9421875000,0.0000035
0.0198920,85.78125,-33,9421875000,0.0000030
0.0200215,87.18750,-33,9425781250,0.0000030
0.0201515,87.18750,-33,9421875000,0.0000035
0.0206715,87.18750,-33,9421875000,0.0000025
0.0208010,87.18750,-33,9421875000,0.0000030
0.0209315,87.18750,-33,9421875000,0.0000030
0.0211915,85.78125,-33,9421875000,0.0000030
0.0217115,87.18750,-33,9421875000,0.0000025
0.0223615,87.18750,-33,9421875000,0.0000030
0.0224910,87.18750,-33,9421875000,0.0000035
0.0226215,87.18750,-33,9421875000,0.0000030
0.0228815,88.59375,-33,9421875000,0.0000030
0.0230115,87.18750,-33,9421875000,0.0000030
0.0231415,87.18750,-33,9417968750,0.0000030
0.0232715,87.18750,-33,9421875000,0.0000030
0.0234010,87.18750,-33,9417968750,0.0000030
0.0239215,88.59375,-33,9421875000,0.0000030
0.0240515,87.18750,-33,9421875000,0.0000030
0.0245715,87.18750,-33,9421875000,0.0000030
0.0252210,87.18750,-34,9421875000,0.0000030
0.0253515,87.18750,-35,9421875000,0.0000030
0.0257415,85.78125,-33,9417968750,0.0000030
0.0258715,85.78125,-34,9421875000,0.0000030
0.0260015,87.18750,-34,9421875000,0.0000030
0.0265210,88.59375,-34,9417968750,0.0000030
0.0266515,87.18750,-34,9425781250,0.0000030
0.0267815,87.18750,-34,9421875000,0.0000035
0.0269115,87.18750,-34,9425781250,0.0000030
0.0270415,87.18750,-33,9421875000,0.0000030
0.0271715,87.18750,-34,9421875000,0.0000030
0.0273015,87.18750,-34,9421875000,0.0000030
0.0275615,87.18750,-34,9421875000,0.0000030
0.0276910,87.18750,-34,9421875000,0.0000030
0.0278220,87.18750,-34,9421875000,0.0000025
0.0279515,87.18750,-34,9417968750,0.0000030
0.0280810,87.18750,-34,9421875000,0.0000030
0.0282115,85.78125,-34,9421875000,0.0000030
0.0283415,87.18750,-35,9425781250,0.0000030
0.0284715,87.18750,-35,9421875000,0.0000030
0.0286015,88.59375,-35,9421875000,0.0000030
0.0287310,87.18750,-35,9421875000,0.0000030
0.0288615,87.18750,-35,9421875000,0.0000025
0.0289915,87.18750,-35,9421875000,0.0000030
0.0292515,87.18750,-35,9425781250,0.0000030
0.0293815,87.18750,-35,9421875000,0.0000035
0.0295115,87.18750,-35,9421875000,0.0000030
