TOA,AOA,Amp,Freq,PW
0.0000015,45.00000,-47,9468750000,0.0000010
0.0002010,46.40625,-44,9472656250,0.0000010
0.0003010,46.40625,-42,9468750000,0.0000010
0.0004010,45.00000,-41,9472656250,0.0000010
0.0005010,45.00000,-39,9468750000,0.0000010
0.0006010,45.00000,-38,9468750000,0.0000010
0.0008015,45.00000,-36,9464843750,0.0000010
0.0009010,45.00000,-35,9468750000,0.0000015
0.0010010,45.00000,-34,9464843750,0.0000010
0.0012010,45.00000,-32,9468750000,0.0000010
0.0013010,45.00000,-33,9468750000,0.0000010
0.0014015,45.00000,-32,9468750000,0.0000010
0.0016010,45.00000,-31,9468750000,0.0000010
0.0018005,45.00000,-29,9464843750,0.0000010
0.0021010,45.00000,-29,9468750000,0.0000015
0.0022010,45.00000,-29,9468750000,0.0000010
0.0027010,45.00000,-27,9468750000,0.0000015
0.0028010,45.00000,-28,9472656250,0.0000010
0.0033010,45.00000,-27,9468750000,0.0000010
0.0035010,46.40625,-25,9468750000,0.0000010
0.0037010,45.00000,-25,9468750000,0.0000005
0.0038010,45.00000,-24,9468750000,0.0000010
0.0040010,45.00000,-24,9468750000,0.0000010
0.0043010,45.00000,-24,9472656250,0.0000010
0.0045005,45.00000,-23,9468750000,0.0000015
0.0046010,45.00000,-22,9468750000,0.0000010
0.0047010,45.00000,-23,9468750000,0.0000005
0.0049010,45.00000,-23,9468750000,0.0000010
0.0052010,45.00000,-23,9468750000,0.0000015
0.0054010,46.40625,-22,9468750000,0.0000010
0.0056010,45.00000,-22,9464843750,0.0000010
0.0058010,45.00000,-22,9472656250,0.0000010
0.0060010,45.00000,-23,9468750000,0.0000010
0.0063010,45.00000,-20,9468750000,0.0000015
0.0064010,43.59375,-21,9468750000,0.0000010
0.0065010,45.00000,-21,9472656250,0.0000010
0.0071010,43.59375,-21,9468750000,0.0000010
0.0073010,45.00000,-21,9468750000,0.0000010
0.0074010,45.00000,-21,9468750000,0.0000010
0.0076010,45.00000,-21,9468750000,0.0000005
0.0077010,45.00000,-21,9468750000,0.0000010
0.0078005,46.40625,-20,9468750000,0.0000010
0.0079010,46.40625,-20,9468750000,0.0000010
0.0080010,45.00000,-20,9468750000,0.0000010
0.0083010,45.00000,-20,9468750000,0.0000010
0.0085010,45.00000,-20,9464843750,0.0000010
0.0086010,45.00000,-20,9468750000,0.0000010
0.0087010,45.00000,-20,9464843750,0.0000010
0.0088015,43.59375,-20,9468750000,0.0000010
0.0089005,45.00000,-20,9472656250,0.0000010
0.0094010,45.00000,-20,9468750000,0.0000010
0.0098010,45.00000,-20,9468750000,0.0000005
0.0101010,45.00000,-20,9468750000,0.0000010
0.0107010,46.40625,-19,9468750000,0.0000010
0.0110005,43.59375,-20,9468750000,0.0000010
0.0111015,45.00000,-20,9464843750,0.0000010
0.0113010,45.00000,-20,9468750000,0.0000005
0.0116010,45.00000,-21,9468750000,0.0000010
0.0121010,45.00000,-21,9468750000,0.0000010
0.0123010,45.00000,-21,9468750000,0.0000010
