TOA,AOA,Amp,Freq,PW
0.0000010,45.00000,-46,9468750000,0.0000010
0.0002010,45.00000,-44,9472656250,0.0000010
0.0004010,45.00000,-41,9468750000,0.0000010
0.0005010,45.00000,-39,9468750000,0.0000010
0.0006010,45.00000,-38,9468750000,0.0000010
0.0007010,43.59375,-37,9468750000,0.0000010
0.0008005,45.00000,-36,9468750000,0.0000010
0.0009010,45.00000,-36,9472656250,0.0000015
0.0010005,45.00000,-35,9464843750,0.0000010
0.0011010,45.00000,-34,9472656250,0.0000010
0.0012010,45.00000,-33,9468750000,0.0000010
0.0013010,45.00000,-33,9468750000,0.0000010
0.0014010,45.00000,-33,9468750000,0.0000010
0.0015010,45.00000,-32,9464843750,0.0000010
0.0016010,43.59375,-31,9468750000,0.0000010
0.0017010,45.00000,-31,9468750000,0.0000005
0.0018010,43.59375,-30,9468750000,0.0000010
0.0019015,45.00000,-30,9472656250,0.0000015
0.0021010,46.40625,-29,9468750000,0.0000015
0.0022015,45.00000,-29,9468750000,0.0000010
0.0023010,43.59375,-28,9468750000,0.0000010
0.0024015,43.59375,-28,9464843750,0.0000010
0.0025010,45.00000,-28,9468750000,0.0000010
0.0026015,43.59375,-26,9468750000,0.0000010
0.0027005,45.00000,-26,9472656250,0.0000010
0.0028010,45.00000,-27,9468750000,0.0000010
0.0029010,45.00000,-27,9468750000,0.0000010
0.0030010,45.00000,-26,9472656250,0.0000010
0.0031015,43.59375,-26,9468750000,0.0000010
0.0032010,45.00000,-26,9468750000,0.0000015
0.0033010,45.00000,-26,9468750000,0.0000015
0.0034010,45.00000,-24,9468750000,0.0000010
0.0035010,45.00000,-25,9468750000,0.0000005
0.0036005,45.00000,-25,9464843750,0.0000010
0.0037010,45.00000,-25,9468750000,0.0000010
0.0039010,45.00000,-24,9468750000,0.0000010
0.0040010,46.40625,-24,9464843750,0.0000010
0.0041010,45.00000,-24,9468750000,0.0000010
0.0042010,43.59375,-24,9468750000,0.0000010
0.0043010,46.40625,-24,9468750000,0.0000010
0.0045010,46.40625,-23,9472656250,0.0000010
0.0046010,43.59375,-23,9468750000,0.0000010
0.0047010,45.00000,-23,9468750000,0.0000010
0.0048010,46.40625,-23,9468750000,0.0000010
0.0049010,45.00000,-22,9468750000,0.0000005
0.0050010,43.59375,-24,9468750000,0.0000010
0.0051010,45.00000,-23,9468750000,0.0000010
0.0052015,45.00000,-23,9468750000,0.0000010
0.0053010,45.00000,-22,9464843750,0.0000005
0.0055005,45.00000,-22,9468750000,0.0000005
0.0056010,45.00000,-22,9468750000,0.0000010
0.0057010,46.40625,-21,9468750000,0.0000010
0.0058010,45.00000,-23,9468750000,0.0000010
0.0059010,45.00000,-23,9468750000,0.0000010
0.0060010,46.40625,-22,9468750000,0.0000010
0.0061015,45.00000,-22,9468750000,0.0000010
0.0062015,45.00000,-22,9468750000,0.0000015
0.0063015,45.00000,-22,9468750000,0.0000010
0.0064010,45.00000,-22,9468750000,0.0000015
0.0065010,45.00000,-21,9468750000,0.0000010
0.0069010,45.00000,-21,9468750000,0.0000010
0.0070010,45.00000,-21,9468750000,0.0000010
0.0071010,46.40625,-22,9468750000,0.0000010
0.0072010,45.00000,-21,9468750000,0.0000010
