TOA,AOA,Amp,Freq,PW
0.0000015,87.18750,-48,9421875000,0.0000030
0.0002610,87.18750,-50,9421875000,0.0000030
0.0003915,87.18750,-48,9421875000,0.0000030
0.0005215,87.18750,-48,9421875000,0.0000035
0.0006515,87.18750,-48,9421875000,0.0000030
0.0007815,87.18750,-47,9421875000,0.0000030
0.0009120,87.18750,-47,9421875000,0.0000025
0.0010415,87.18750,-46,9421875000,0.0000030
0.0011715,88.59375,-45,9421875000,0.0000030
0.0013015,87.18750,-46,9421875000,0.0000030
0.0014315,87.18750,-45,9421875000,0.0000035
0.0015615,87.18750,-46,9421875000,0.0000030
0.0016920,87.18750,-45,9421875000,0.0000025
0.0018215,87.18750,-44,9421875000,0.0000030
0.0019520,88.59375,-44,9421875000,0.0000030
0.0020820,87.18750,-44,9421875000,0.0000030
0.0022115,87.18750,-43,9421875000,0.0000030
0.0023410,85.78125,-43,9417968750,0.0000030
0.0024715,87.18750,-43,9421875000,0.0000030
0.0026015,85.78125,-43,9421875000,0.0000030
0.0027315,87.18750,-43,9421875000,0.0000030
0.0028615,87.18750,-42,9421875000,0.0000030
0.0029915,88.59375,-41,9421875000,0.0000030
0.0031220,87.18750,-42,9421875000,0.0000030
0.0032515,87.18750,-43,9421875000,0.0000030
0.0033815,85.78125,-42,9425781250,0.0000030
0.0035115,87.18750,-41,9421875000,0.0000030
0.0036415,87.18750,-41,9421875000,0.0000030
0.0037715,87.18750,-42,9421875000,0.0000030
0.0039010,87.18750,-41,9421875000,0.0000030
0.0040315,85.78125,-41,9425781250,0.0000035
0.0041620,87.18750,-41,9421875000,0.0000025
0.0042915,87.18750,-40,9421875000,0.0000030
0.0044215,88.59375,-40,9417968750,0.0000030
0.0045515,87.18750,-41,9421875000,0.0000025
0.0046820,87.18750,-40,9421875000,0.0000030
0.0048115,87.18750,-40,9421875000,0.0000025
0.0049420,85.78125,-40,9421875000,0.0000030
0.0050715,88.59375,-39,9421875000,0.0000030
0.0052015,87.18750,-39,9421875000,0.0000030
0.0053310,87.18750,-38,9421875000,0.0000030
0.0054615,85.78125,-38,9417968750,0.0000030
0.0055915,87.18750,-39,9421875000,0.0000030
0.0057215,87.18750,-39,9421875000,0.0000030
0.0058515,88.59375,-39,9421875000,0.0000030
0.0059815,87.18750,-38,9417968750,0.0000030
0.0061120,85.78125,-38,9421875000,0.0000030
0.0062415,87.18750,-37,9421875000,0.0000030
0.0063715,87.18750,-38,9421875000,0.0000030
0.0065015,87.18750,-38,9421875000,0.0000025
0.0066315,87.18750,-38,9417968750,0.0000025
0.0067615,88.59375,-38,9421875000,0.0000030
0.0068915,87.18750,-38,9421875000,0.0000030
0.0070215,87.18750,-38,9425781250,0.0000030
0.0071515,87.18750,-37,9421875000,0.0000030
0.0072815,87.18750,-37,9421875000,0.0000030
0.0074115,87.18750,-38,9421875000,0.0000030
0.0075420,87.18750,-37,9421875000,0.0000030
0.0076715,87.18750,-37,9421875000,0.0000030
0.0078015,87.18750,-37,9421875000,0.0000035
0.0079315,87.18750,-37,9417968750,0.0000030
0.0080615,87.18750,-37,9417968750,0.0000025
0.0081915,87.18750,-37,9421875000,0.0000030
0.0083215,87.18750,-37,9421875000,0.0000025
